,Song,Slide1,Slide2,Slide3,Slide4,Slide5,Slide6,Slide7,Slide8,Slide9,Slide10,Slide11,Slide12,Slide13,Slide14,Slide15,Slide16,Slide17,Slide18,Slide19,Slide20
84,New Wine,"In the crushing
In the pressing
You are making new wine
In the soil
I now surrender
You are breaking new ground","So I yield to You 
Into your careful hand
When I trust You 
I don't need to understand","Make me Your vessel
Make me an offering
Make me whatever 
You want me to be","I came here with nothing
But all You have given me
Jesus bring new wine 
Out of me","In the crushing
In the pressing
You are making new wine
In the soil
I now surrender
You are breaking new ground","So, make me Your vessel
Make me an offering
Make me whatever
You want me to be","I came here with nothing
But all You have given me
Jesus, bring new wine 
Out of me","Cause where there is new wine
There is new power
There is new freedom
And the Kingdom is here
I lay down my old flames
To carry Your new fire today","So, make me Your vessel
Make me an offering
Make me whatever
You want me to be","God, I came here with nothing
But all You have given me
Jesus, bring new wine 
Out of me",,,,,,,,,,
85,Nothing Else,"I'm caught up in Your presence
I just want to sit here at 
Your feet
I'm caught up in 
This holy moment
I never wanna leave","Oh, I'm not here for blessings
Jesus, You don't owe me Anything
More than anything that 
You can do
I just want You","I'm sorry 
When I've just gone through 
The motions
I'm sorry 
When I just sang another song
Take me back to where we started
I open up my heart to You","I'm sorry 
When I've come with my agenda
I'm sorry 
When I forgot that You're enough
Take me back to where we started
I open up my heart to You","I'm caught up in Your presence
I just want to sit here at 
Your feet
I'm caught up in 
This holy moment
I never wanna leave","Oh, I'm not here for blessings
Jesus, You don't owe me Anything
More than anything that 
You can do
I just want You","I just want You
Nothing else, nothing else
Nothing else will do","I just want You
Nothing else, nothing else
Jesus
Nothing else will do","I'm coming back to 
Where we started
I'm coming back to 
Where we started
When I first felt Your love
You're all that matters, Jesus","You're all that matters
I'm coming back to 
What really matters
Just Your heart
I just wanna bless Your heart, Jesus","I'm caught up in Your presence
I just want to sit here at 
Your feet
I'm caught up in 
This holy moment
I never wanna leave","Oh, I'm not here for blessings
Jesus, You don't owe me Anything
More than anything that 
You can do
I just want You",,,,,,,,
86,Nothing is Impossible,"Through You
I can do anything
I can do all things
Cause it's You 
Who gives me strength
Nothing is impossible","Through You
Blind eyes are opened
Strongholds are broken
I am living by faith
Nothing is impossible","I'm not gonna live by what I see
I'm not gonna live by what I feel
Deep down I know that 
You're here with me
I know that
You can do anything","I believe 
I believe
I believe
I believe in You",,,,,,,,,,,,,,,,
87,O Come to the Altar,"Are you hurting and 
Broken within?
Overwhelmed by the 
Weight of your sin?
Jesus is calling","Have you come to 
The end of yourself
Do you thirst for a drink 
From the well?
Jesus is calling","O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of 
Jesus Christ","Leave behind your 
Regrets and mistakes
Come today, 
There's no reason to wait
Jesus is calling","Bring your sorrows and 
Trade them for joy
From the ashes,
A new life is born
Jesus is calling","O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of 
Jesus Christ","Oh, what a Savior
Isn't He wonderful?
Sing Hallelujah, 
Christ is risen","Bow down before Him
For He is Lord of all
Sing Hallelujah, 
Christ is risen","O come to the altar
The Father's arms are open wide
Forgiveness was bought with
The precious blood of 
Jesus Christ","Bear your cross as you 
Wait for the crown
Tell the world of the 
Treasure you found",,,,,,,,,,
88,O Sacrament,"O Sacrament most holy
O Sacrament divine
All praise and all thanksgiving
Be every moment thine ",,,,,,,,,,,,,,,,,,,
89,Oceans,"You call me out 
upon the waters
The great unknown 
where feet may fail","And there I find You in the mystery
In oceans deep
My faith will stand","And I will call upon Your name
And keep my eyes above the waves
When oceans rise, my soul will rest in Your embrace
For I am Yours and You are mine","Your grace abounds 
In deepest waters
Your sovereign hand
Will be my guide","Where feet may fail and fear surrounds me
You've never failed and You won't start now","And I will call upon Your name
And keep my eyes above the waves
When oceans rise, my soul will rest in Your embrace
For I am Yours and You are mine","Spirit lead me where my trust is without borders
Let me walk upon the waters
Wherever You would call me","Take me deeper than my feet could ever wander
And my faith will be made stronger
In the presence of my Savior","I will call upon Your name
Keep my eyes above the waves
My soul will rest in Your embrace
I am Yours and You are mine",,,,,,,,,,,
90,Old Church Choir,"There's revival, and it's spreading
Like a wildfire in my heart
A Sunday morning, hallelujah
And it's lasting all week long
Can you hear it?
Can you feel it?","It's the rhythm of a gospel song
Oh, once you choose it, 
You can lose it
There ain't nothing there ain’t
Nothing gonna steal my joy","I got an Old Church Choir 
Singing in my soul
I've got a sweet salvation 
And it's beautiful","I've got a heart overflowing 'cause I've been restored
There ain't nothing 
Gonna steal my joy
No, there ain't nothing 
Gonna steal my joy","When the valleys, that I wander
Turn to mountains 
That I can't climb
Oh, You are with me, 
Never leave me","Oh, 'cause there ain't nothing
There ain't nothing 
Gonna steal my joy","I got an Old Church Choir 
Singing in my soul
I've got a sweet salvation 
And it's beautiful","I've got a heart overflowing 'cause I've been restored
There ain't nothing 
Gonna steal my joy
No, there ain't nothing 
Gonna steal my joy","Clap your hands and 
Stomp your feet
Till you find that gospel beat
'Cause it's all you'll ever need
All you'll ever need","I got an Old Church Choir 
Singing in my soul
I've got a sweet salvation 
And it's beautiful","I've got a heart overflowing 'cause I've been restored
There ain't nothing 
Gonna steal my joy
No, there ain't nothing 
Gonna steal my joy",,,,,,,,,
91,"One Bread, One Body","One Bread, One Body
One Lord of all,
One cup of Blessing
Which we Bless","And We, Though Many
Throughout the Earth
We are one Body in this one
Lord","Servant or Free
Woman or Man
No More","One Bread, One Body
One Lord of all,
One cup of Blessing
Which we Bless","And We, Though Many
Throughout the Earth
We are one Body in this one
Lord",,,,,,,,,,,,,,,
92,One Thing Remains,"Higher than the mountains 
that I face
Stronger than the power 
of the grave","Constant in the trial and the change
This one thing remains
This one thing remains","Your love never fails 
Never gives up
Never runs out on me","On and on and on and on it goes
For it overwhelms and satisfies my soul
And I never, ever, have to be afraid
Cause this one thing remains","Your love never fails 
Never gives up
Never runs out on me","In death, In life, 
I'm confident 
Covered by the power 
Of your great love","My debt is paid, 
There’s nothing that can
Separate my heart 
From your great love","Your love never fails 
Never gives up
Never runs out on me",,,,,,,,,,,,
93,One Way Jesus,"I lay my life down at your feet
Cause you're the only one I need
I turn to You and 
You are always there","In troubled times, 
It's You I seek
I put You first, 
That's all I need
I humble all I am all to You","One way, Jesus, 
You're the only one 
that I could live for","You are always, always there
Everyhow and everywhere
Your grace abounds so deeply within me","You will never, ever change
Yesterday, today the same
Forever till forever 
Meets no end","One way, Jesus, 
You're the only one 
that I could live for","You are the way, the truth and the life
We live by faith and not by sight for You
We're living all for You","One way, Jesus, 
You're the only one 
that I could live for",,,,,,,,,,,,
94,Open My Eyes Lord,"Open my Eyes, Lord
Help me to see your face
Open my Eyes, Lord
Help me to See","Open my Ears, Lord
Help me to hear your voice
Open my Eyes, Lord
Help me to Hear","Open my Heart, Lord
Help me to love like you
Open my Heart, Lord
Help me to Love","And the first shall be the last
And our eyes are opened
And we’ll hear like
Never before","And We’ll speak in new ways
And we’ll see God’s face
In places we’ve never known","I live within you Lord
Deep in your Heart, Lord
I live within you
Rest now in me",,,,,,,,,,,,,,
95,Open the Eyes of my Heart,"Open the eyes of my heart, Lord
Open the eyes of my heart
I want to see You
I want to see You","To see You high and lifted up
Shining in the light of Your glory
Pour out Your power and love
As we sing holy, holy, holy","Holy, holy, holy
We cry holy, holy, holy
You are holy, holy, holy
I want to see you",,,,,,,,,,,,,,,,,
96,Our God is Greater,"Water You turned into wine
Opened the eyes of the blind
There's no one like you
None like you","Into the darkness You shine
Out of the ashes we rise
There`s No one like you
None like you","Our God is greater, 
Our God is stronger
God You are higher than any other
Our God is Healer, 
Awesome in power
Our God, Our God","Into the darkness You shine
Out of the ashes we rise
There`s No one like you
None like you","Our God is greater, 
Our God is stronger
God You are higher than any other
Our God is Healer, 
Awesome in power
Our God, Our God","And if Our God is for us, 
Then who could ever stop us?
And if our God is with us, 
Then what can stand against?",,,,,,,,,,,,,,
97,Our Supper Invitation,"Take of my Bread and eat 
Drink my new wine
Take of my life and live,
Branch of my vine","Let me befriend you now 
Eat, take your fill
Don’t be afraid to dream
Love has its will","Take up your burden now 
Walk till you find
Just what the journey means
Walk while there’s time","Food for the journey 
Will answer your need
Don’t be afraid to walk 
Love, my love will lead","Take of my Bread and eat 
Drink my new wine
Be a sweet nourishment 
To good friends of mine","Let me befriend you now
Eat, take your fill
Share with your people 
That love, has its will","Take of my Bread and eat
Drink my new wine
Take of my Life and live
Branch of my vine",,,,,,,,,,,,,
98,Pharaoh Pharaoh,"Pharaoh Pharoah
Ohh Baby
Let my people go
Aha Aha","Well, the burning bush told me just the other day
That I should come over here and say
Got to get my people out of Pharaoh's hand
And lead them on over to the Promised Land","Pharaoh Pharoah
Ohh Baby
Let my people go
Aha Aha","Well, all of God's people came to the Red Sea
With Pharaoh's army coming after me
I raised my rod, stuck it in the sand
And all of God's people walked across dry land","Pharaoh Pharoah
Ohh Baby
Let my people go
Aha Aha","Well, that's the story of the stubborn goat
Pharaoh should've known that chariots don't float
The lesson is simple, it's easy to find
When God says, ‘GO’ you had better mind",,,,,,,,,,,,,,
99,Pour Out Your Spirit,"Pour out your Spirit
Pour out your Spirit
Pour out your Spirit on us
Jesus","Spirit move in your temple
Spirit move in our lives
Spirit move we are calling
Spirit move we are here
",,,,,,,,,,,,,,,,,,
100,Power of Your Love,"Lord, I come to You
Let my heart be changed, renewed
Flowing from the grace
That I found in You","Lord, I've come to know
The weaknesses I see in me
Will be stripped away
By the power of Your love","Lord, I've come to know
The weaknesses I see in me
Will be stripped away
By the power of Your love","Hold me close
Let Your love surround me
Bring me near
Draw me to Your side","And as I wait
I'll rise up like the eagle
And I will soar with You
Your Spirit leads me on
In the power of Your love","Lord, unveil my eyes
Let me see You face to face
The knowledge of Your love
As You live in me","Lord, renew my mind
As Your will unfolds in my life
In living every day
By the power of Your love","Hold me close
Let Your love surround me
Bring me near
Draw me to Your side","And as I wait
I'll rise up like the eagle
And I will soar with You
Your Spirit leads me on
In the power of Your love",,,,,,,,,,,
101,Purify My Heart,"Purify my heart, 
Let me be as Gold
And precious Silver
Purify my heart,
Let me be as Gold,
Pure Gold","Refiner’s Fire
My heart’s one desire
Is to be Holy
Set apart for you Lord","I choose to be Holy
Set apart for you my Master
Ready to do your Will","Purify my Heart
Cleanse me from within and make me holy
Purify my Heart
Cleanse me from my sin
Deep Within","Refiner’s Fire
My heart’s one desire
Is to be Holy
Set apart for you Lord
","I choose to be Holy
Set apart for you my Master
Ready to do your Will",,,,,,,,,,,,,,
102,Receive the Power,"Every nation, every tribe
Come together to worship You
In Your presence we delight
We will follow to the ends of the earth","Alleluia, Alleluia 
Receive the Power
From the Holy Spirit
Alleluia, Alleluia
Receive the Power to be a light unto the world ","As Your Spirit calls to rise 
We will answer and do Your Will 
We'll forever testify of 
Your mercy and unfailing love","Alleluia, Alleluia 
Receive the Power
From the Holy Spirit
 Alleluia, Alleluia
Receive the Power to be a light unto the world ","Lamb of God, we worship You,
Holy One, we worship You, 
Bread of Life, we worship You,
Emmanuel, we worship You","Lamb of God, we worship You,
Holy One, we worship You, 
Bread of Life, we worship You,
Emmanuel, we we will sing forever","Alleluia, Alleluia 
Receive the Power
From the Holy Spirit
 Alleluia, Alleluia
Receive the Power to be a light unto the world",,,,,,,,,,,,,
103,Reckless Love,"Before I spoke a word, 
You were singing over me
You have been 
So, so good to me","Before I took a breath, 
You breathed Your life in me
You have been 
So, so kind to me","Oh, the overwhelming, 
never-ending, 
reckless love of God
Oh, it chases me down, 
fights 'til I'm found, 
leaves the ninety-nine","I couldn't earn it, and I don’t
deserve it, 
Still, You give Yourself away
Oh, the overwhelming, 
never-ending, 
Reckless love of God, yeah","When I was Your foe, 
Still Your love fought for me
You have been 
So, so good to me","When I felt no worth, 
You paid it all for me
But You have been 
So, so kind to me","Oh, the overwhelming, 
never-ending, 
reckless love of God
Oh, it chases me down, 
fights 'til I'm found, 
leaves the ninety-nine","And I couldn't earn it, and 
I don't deserve it, 
Still, You give Yourself away
Oh, the overwhelming, 
never-ending, 
Reckless love of God, yeah","There's no shadow 
You won't light up
Mountain You won't climb up
Coming after me","There's no wall 
You won't kick down
Lie You won't tear down
Coming after me","Oh, the overwhelming, 
never-ending, 
reckless love of God
Oh, it chases me down, 
fights 'til I'm found, 
leaves the ninety-nine","And I couldn't earn it, and 
I don't deserve it, 
Still, You give Yourself away
Oh, the overwhelming, 
never-ending, 
Reckless love of God, yeah",,,,,,,,
104,Remembrance,"Oh how could it be
That my God would 
Welcome me
Into this mystery","Say take this bread 
Take this wine
Now the simple made divine
For any to receive","By mercy 
We come to your table
By your grace
You are making us faithful","Lord, we remember you
And remembrance 
Leads us to worship
And as we worship you","Our worship leads to communion
We respond to your invitation
We remember you","See his body, his blood
Know that he has overcome
Every trial we will face
None too lost to be saved
None too broken or ashamed
All are welcome in this place","By mercy 
We come to your table
By your grace
You are making us faithful","Lord, we remember you
And remembrance 
Leads us to worship
And as we worship you","Our worship leads to communion
We respond to your invitation
We remember you","Dying, you destroyed our death
Rising, you restored our life
Lord, Jesus come in glory
Lord, Jesus come in glory","Lord, we remember you
And remembrance 
Leads us to worship
And as we worship you","Our worship leads to communion
We respond to your invitation
We remember you",,,,,,,,
105,Romans 16:19,"Romans 16:19 Says

Be excellent,
At what is Good,
Be innocent,
Of evil","And the God of peace
Will soon crush Satan
And God will crush him
Underneath your feet",,,,,,,,,,,,,,,,,,
106,Run to the Father,"I've carried a burden
For too long on my own
I wasn't created
To bear it alone","I hear Your invitation
To let it all go
Yeah, I see it now
I'm laying it down
And I know that I need You","I run to the Father
I fall into grace
I'm done with the hiding
No reason to wait","My heart needs a surgeon
My soul needs a friend
So I'll run to the Father
Again and again
And again and again
Oh, oh, oh","You saw my condition
Had a plan from the start
Your Son for redemption
The price for my heart","And I don't have a context
For that kind of love
I don't understand
I can't comprehend
All I know is I need You","I run to the Father
I fall into grace
I'm done with the hiding
No reason to wait","My heart needs a surgeon
My soul needs a friend
So I'll run to the Father
Again and again
And again and again","Oh, oh
Again and again
And again and again
Oh, oh (oh)",,,,,,,,,,,
107,Sanctify Me,"Sanctify me Oh God
Cleanse my body, 
Mind and Soul
Purify me and make me whole","Help me to put off my old self
Corrupted by all its deceitful desires
Create me anew in your likeness O Lord
Make me righteous and holy","Sanctify me Oh God
Cleanse my body, 
Mind and Soul
Purify me and make me whole","Let me not confirm any longer
To the pattern set by the ways of the world
May I offer myself as a living sacrifice
That is holy and pleasing","Sanctify me Oh God
Cleanse my body, 
Mind and Soul
Purify me and make me whole","Strengthen me with power through your Spirit
Transform me christ in the full of Your love
That I may perceive the length the breadth the depth
And the height of Your love Lord","Sanctify me Oh God
Cleanse my body, 
Mind and Soul
Purify me and make me whole",,,,,,,,,,,,,
108,Seek Ye First,"Seek ye first the Kingdom of God,
And his righteousness,
And all these things shall be added onto you..
Allelu, Alleluia!","Al-le-lu-ia,
Al-le-lu-ia,
Al-le-lu-ia,
Al-le-lu.. Al-le-lu-ia","Man shall not live by bread alone,
But by every word,
That proceeds from the Mouth of God..
Allelu, Alleluia!","Al-le-lu-ia,
Al-le-lu-ia,
Al-le-lu-ia,
Al-le-lu.. Al-le-lu-ia","Ask and it shall be given unto you,
Seek and ye shall find,
Knock and the door shall be opened unto you..
Allelu, Alleluia!","Al-le-lu-ia,
Al-le-lu-ia,
Al-le-lu-ia,
Al-le-lu.. Al-le-lu-ia",,,,,,,,,,,,,,
109,Set A Fire,"So set a fire down in my soul
That I can't contain 
That I can't control
I want more of You, God
I want more of You, God","No place I would rather be
Than here in Your Love
Here in Your Love",,,,,,,,,,,,,,,,,,
110,Shine Jesus Shine,"Lord, the light of your love is shining
In the midst of the darkness, shining
Jesus, Light of the world, shine upon us","Set us free by the truth 
You now bring us
Shine on me, shine on me","Shine, Jesus, shine
Fill this land with the Father's glory
Blaze, Spirit, blaze
Set our hearts on fire","Flow, river, flow
Flood the nations with grace and mercy
Send forth your word
Lord, and let there be light","Lord, I come to your awesome presence
From the shadows into your radiance
By the blood I may enter your brightness","Search me, try me, 
Consume all my darkness
Shine on me, 
Shine on me","Shine, Jesus, shine
Fill this land with the Father's glory
Blaze, Spirit, blaze
Set our hearts on fire","Flow, river, flow
Flood the nations with grace and mercy
Send forth your word
Lord, and let there be light","As we gaze on your kingly brightness
So our faces display your likeness
Ever changing from glory to glory","Mirrored here may our lives tell your story
Shine on me, 
Shine on me","Shine, Jesus, shine
Fill this land with the Father's glory
Blaze, Spirit, blaze
Set our hearts on fire","Flow, river, flow
Flood the nations with grace and mercy
Send forth your word
Lord, and let there be light",,,,,,,,
111,Shout to the Lord,"My Jesus, my Saviour
Lord there is none like You
All of my days I want to praise
The wonders of Your mighty love","My comfort, my shelter
Tower of refuge and strength
Let every breath, all that I am
Never cease to worship You","Shout to the Lord all the Earth, let us sing
Power and majesty, praise to the King
Mountains bow down and the seas will roar
At the sound of Your name","I sing for joy at the work of Your hand
Forever I'll love You, forever I'll stand
Nothing compares to the promise I have
In You",,,,,,,,,,,,,,,,
112,Shout to the North,"Men of faith rise up and sing
Of the great and glorious King
You are strong when you feel weak
In your brokenness complete","Shout to the North and the South
Sing to the East and the West
Jesus is savior to all
Lord of heaven and earth","Rise up women of the truth
Stand and sing to broken hearts
Who can know the healing power
Of our awesome King of love","Shout to the North and the South
Sing to the East and the West
Jesus is savior to all
Lord of heaven and earth","We've been through fire we've been
through rain
We've been refined by the power of his name
We've fallen deeper in love with you
You've burned the truth on our lips","Shout to the North and the South
Sing to the East and the West
Jesus is savior to all
Lord of heaven and earth","Rise up church with broken wings
Fill this place with songs again
Of our God who reigns on high
By His grace again we'll fly","Shout to the North and the South
Sing to the East and the West
Jesus is savior to all
Lord of heaven and earth",,,,,,,,,,,,
113,Spirit,"Oh, Lord, fill us with Your spirit
Guide us by Your presence
How we need You, God
Oh, Lord, lead us to Your kingdom
Bring us back to freedom
How we need You, God","Oh Lord, we will sing Your praises
You are our salvation
Be our strength and song
How we need You, God",,,,,,,,,,,,,,,,,,
114,Spirit of God,"Spirit of God, come down
Spirit of God, rain down
Spirit of God, come into my life
Spirit of God, rain down","Let your fire fall on me
Oh Spirit of God
Fall fall on me
Spirit fall on me","I pray you Rain down, 
Down, rain down
In my life Lord
Rain down, down rain
Spirit of God",,,,,,,,,,,,,,,,,
115,Still,"Hide me now
Under your wings
Cover me
Within your mighty hand","When the Oceans Rise
And Thunders Roar
I will Soar with you
Above the Storm","Father, You are King
Over the Flood
I will be still
Know you are God","Find rest my soul
In Christ Alone
Know his power
In Quietness and Trust","When the Oceans Rise
And Thunders Roar
I will Soar with you
Above the Storm","Father, You are King
Over the Flood
I will be still
Know you are God",,,,,,,,,,,,,,
116,"Thank You, Lord","I come before You today
And there's just one thing that I want to say
Thank You Lord
Thank You Lord","For all You've given to me
For all the blessings that I cannot see
Thank You Lord
Thank You Lord","With a greatful heart
With a song of praise
With an outstreched arm
I will bless Your name","Thank You Lord
I just wanna thank You Lord
Thank You Lord
I just wanna thank You Lord
Thank You Lord","For all You've done in my life
You took my darkness and gave me Your light
Thank You Lord
Thank You Lord","You took my sin and my shame
You took my sickness and healed all my pain
Thank You Lord
Thank You Lord","With a greatful heart
With a song of praise
With an outstreched arm
I will bless Your name","Thank You Lord
I just wanna thank You Lord
Thank You Lord
I just wanna thank You Lord
Thank You Lord",,,,,,,,,,,,
117,The Same Love,"You choose the humble 
And raise them high
You choose the weak 
And make them strong
You heal our brokenness inside
And give us life","The same love 
That set the captives free
The same love 
That opened eyes to see
Is calling us all by name
You are calling us all by name","The same God 
That spread the heavens wide
The same God 
That was crucified
Is calling us all by name
You are calling us all by name","You take the faithless one aside
And speak the words 
You are mine
You call the cynic and the proud
Come to me now","The same love 
That set the captives free
The same love 
That opened eyes to see
Is calling us all by name
You are calling us all by name","The same God 
That spread the heavens wide
The same God 
That was crucified
Is calling us all by name
You are calling us all by name","You're calling, You're calling
You're calling us to the cross
You're calling, You're calling
You're calling us to the cross",,,,,,,,,,,,,
118,The Wonderful Cross,"When I survey the wondrous cross
On which the Prince of Glory died 
My richest gain I count but loss 
And pour contempt on all my pride","O the wonderful cross
O the wonderful cross
Bids me come and die 
And find that I may
Truly live ","See from His head, 
His hands, His feet 
Sorrow and love 
flow mingled down
Did ever such love 
And sorrow meet
Or thorns compose so rich a crown","O the wonderful cross
O the wonderful cross
Bids me come and die 
And find that I may
Truly live ","Love so amazing, 
So divine, demands 
My soul my life, my all",,,,,,,,,,,,,,,
119,There is None Like You,"There is none like You
No one else can touch 
My heart like You do
And I can search for all eternity,
Lord
And find, there is none like You","Your mercy flows 
Like a river so wide
And healing comes from Your hand
Suffering children are 
Safe in Your arms
There is none like You","There is none like You
No one else can touch 
My heart like You do
And I can search for all eternity,
Lord
And find, there is none like You","Oh I can search for all eternity,
Lord
And find, there is none
(there is none)
There is none (there is none)
There is none like You",,,,,,,,,,,,,,,,
120,This I Believe,"Our Father everlasting
The all creating One
God Almighty
Through Your Holy Spirit
Conceiving Christ the Son
Jesus our Savior","I believe in God our Father
I believe in Christ the Son
I believe in the Holy Spirit
Our God is three in one","I believe in the resurrection
That we will rise again
For I believe in 
The name of Jesus","Our Judge and our Defender
Suffered and crucified
Forgiveness is in You
Descended into darkness
You rose in glorious life
Forever seated high","I believe in God our Father
I believe in Christ the Son
I believe in the Holy Spirit
Our God is three in one","I believe in the resurrection
That we will rise again
For I believe in 
The name of Jesus","I believe in You
I believe You rose again
I believe that Jesus Christ is Lord","I believe in God our Father
I believe in Christ the Son
I believe in the Holy Spirit
Our God is three in one","I believe in the resurrection
That we will rise again
For I believe in 
The name of Jesus","I believe in life eternal
I believe in the virgin birth
I believe in the saints' communion
And in Your holy Church","I believe in the resurrection
That we will rise again
For I believe in 
The name of Jesus","I believe in God our Father
I believe in Christ the Son
I believe in the Holy Spirit
Our God is three in one","I believe in the resurrection
That we will rise again
For I believe in 
The name of Jesus",,,,,,,
121,This is Amazing Grace,"Who breaks the power of 
Sin and darkness?
Whose love is mighty and 
So much stronger?
The King of glory, 
The King above all kings","Who shakes the whole earth
With holy thunder?
And leaves us breathless in 
Awe and wonder?
The King of glory, 
The King above all kings","This is amazing grace
This is unfailing love
That You would take my place
That You would bear my cross","You laid down Your life
That I would be set free
Oh, Jesus, I sing for
All that You've done for me","Who brings our chaos 
Back into order?
Who makes the orphans 
A son and daughter?
The King of glory, 
The King of glory","Who rules the nations with 
Truth and justice
Shines like the sun in 
All of its brilliance
The King of glory, 
The King above all kings","This is amazing grace
This is unfailing love
That You would take my place
That You would bear my cross",,,,,,,,,,,,,
122,This is How we Overcome,"Your light broke through my night
Restored exceeding joy
Your grace fell like the rain
And made this desert live","You have turned my 
Mourning into dancing
You have turned my 
Sorrow into joy","Your hand lifted me up
I stand on higher ground
Your praise rose in my heart
And made this valley sing","Your hand lifted me up
I stand on higher ground
Your praise rose in my heart
And made this valley sing","You have turned my 
Mourning into dancing
You have turned my 
Sorrow into joy","You have turned my 
Mourning into dancing
You have turned my 
Sorrow into joy

This is how we overcome","You have turned my 
Mourning into dancing
You have turned my 
Sorrow into joy",,,,,,,,,,,,,
123,This is Your House,"As we gather in this place today
Holy Spirit come and have 
Your way 
Have Your way","As we lay aside our own desires
Sweep across our hearts 
With holy fire 
Have Your way","This is Your house, Your home
We welcome You, Lord, 
We welcome You
This is Your house, Your home
We welcome You today","As we offer up our hearts and lives
Let them be a living sacrifice
Have Your way","Be glorified in 
Everything we do
Be glorified in 
Everything we say 
Have Your way","This is Your house, Your home
We welcome You, Lord, 
We welcome You
This is Your house, Your home
We welcome You today","As we praise 
O Lord draw near
It's Your voice 
We long to hear","This is Your house, Your home
We welcome You, Lord, 
We welcome You
This is Your house, Your home
We welcome You today",,,,,,,,,,,,
124,This Little Light of Mine,"This Little Light Of Mine
I'm gonna let it shine","Let it shine
Let it shine
Let it shine","On Monday he gave me 
the gift of love
Tuesday peace came from above
Wednesday he told me 
to have more faith","And on Thursday he brought me a little more grace.
And then on Friday he told me 
to Watch and Pray
On Saturday told me 
just what to say","This Little Light Of Mine
I'm gonna let it shine","Let it shine
Let it shine
Let it shine",,,,,,,,,,,,,,
125,Though the Mountains May Fall,"Though the mountains may fall 
And the hills turn to dust,
Yet the love of the Lord will stand
As a shelter for all 
Who will call on His name.
Sing the praise 
And the glory of God.","Could the Lord ever leave you?
Could the Lord forget His love?
Though a mother 
Forsake her child
He will not abandon you","Though the mountains may fall 
And the hills turn to dust,
Yet the love of the Lord will stand
As a shelter for all 
Who will call on His name.
Sing the praise 
And the glory of God.","Should you turn 
And forsake Him
He will gently call your name
Should you wander 
Away from Him
He will always take you back","Though the mountains may fall 
And the hills turn to dust,
Yet the love of the Lord will stand
As a shelter for all 
Who will call on His name.
Sing the praise 
And the glory of God.","Go to Him when you're weary
He will give you eagle's wings
You will run, never tire
For your God 
Will be your strength.","Though the mountains may fall 
And the hills turn to dust,
Yet the love of the Lord will stand
As a shelter for all 
Who will call on His name.
Sing the praise 
And the glory of God.","As He swore to your fathers
When the flood 
Destroyed the land
He will never forsake you
He will swear to you again",,,,,,,,,,,,
126,Via Dolorosa,"Down the Via Dolorosa in
Jerusalem that day
The soldiers tried to clear 
The narrow street
But the crowd pressed in to see
The man condemned to 
Die on Calvary","He was bleeding from a beating
There were stripes upon His back
And He wore a crown of thorns
Upon His head
And He bore with every step
The scorn of those 
Who cried out for His death","Down the Via Dolorosa 
Called the way of suffering
Like a lamb came the Messiah
Christ the King","But He chose to walk 
That road out of
His love for you and me
Down the Via Dolorosa, 
All the way to Calvary","Por la Vía Dolorosa, 
Triste día en Jerusalén
Los soldados le abrían paso a Jesús
Mas la gente se acercaba
Para ver al que llevaba aquella cruz","Por la Vía Dolorosa, 
Que es la vía del dolor
Como oveja vino Cristo, rey, Señor
Y fue Él quien quiso ir, 
Por su amor por ti y por mí
Por la Vía Dolorosa al 
Calvario y a morir","The blood that would cleanse
The souls of all men
Made its way to the 
Heart of Jerusalem","Down the Via Dolorosa 
Called the way of suffering
Like a lamb came the Messiah
 Christ the King","But He chose to walk that road
Out of His love for you and me
Down the Via Dolorosa 
All the way to Calvary",,,,,,,,,,,
127,Way Maker,"You are here, 
Moving in our midst
I worship You, I worship You
You are here, 
Working in this place
I worship You, I worship You","You are
Waymaker, miracle worker
Promise keeper, 
Light in the darkness
My God, that is who You are","That is who you are
That is who you are
That is who you are","You are here, 
Touching every heart
I worship You, I worship You
You are here, 
Healing every heart
I worship You, I worship You","You are here, 
Turning lives around
I worship You, I worship You
You are here, 
Mending every heart
I worship You, I worship You","You are
Waymaker, miracle worker
Promise keeper, 
Light in the darkness
My God, that is who You are","Even when I don't see it, 
You're working
Even when I don't feel it, 
You're working
You never stop, 
You never stop working","You are
Waymaker, miracle worker
Promise keeper, 
Light in the darkness
My God, that is who You are","That is who you are
That is who you are
That is who you are","You are
Waymaker, miracle worker
Promise keeper, 
Light in the darkness
My God, that is who You are","Oh, His name is above
His name is above depression
His name is above loneliness
Oh, His name is above disease
His name is above cancer
His name is above every other name","That is who you are
That is who you are
That is who you are",,,,,,,,
